epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,1577.15,1.0752,0.51902,0.86101,0.93843,0.82971,0.88751,0.59559,0.96804,0.49455,0.82793,0.000812,0.000812,0.000812
62,1610.75,1.06861,0.51475,0.86239,0.94274,0.82214,0.8893,0.59506,0.97219,0.48733,0.833,0.0007922,0.0007922,0.0007922
63,1645.52,1.0629,0.51107,0.86094,0.93735,0.82971,0.89007,0.58547,0.97778,0.47246,0.83268,0.0007724,0.0007724,0.0007724
64,1680.58,1.06071,0.50747,0.86343,0.93649,0.83078,0.88663,0.59463,0.96811,0.47334,0.8294,0.0007526,0.0007526,0.0007526
65,1715.31,1.05421,0.50688,0.86166,0.93618,0.82074,0.89266,0.59517,0.95856,0.4783,0.8326,0.0007328,0.0007328,0.0007328
66,1750.03,1.04855,0.50675,0.86039,0.9415,0.82433,0.88691,0.59088,0.98444,0.47996,0.83377,0.000713,0.000713,0.000713
67,1781.29,1.05965,0.50555,0.85772,0.94158,0.82843,0.88956,0.60151,0.95023,0.46432,0.82687,0.0006932,0.0006932,0.0006932
68,1814.03,1.04447,0.49982,0.85673,0.93024,0.82843,0.88663,0.59716,0.93451,0.46037,0.82555,0.0006734,0.0006734,0.0006734
69,1845.04,1.07347,0.50822,0.85946,0.94132,0.82458,0.88749,0.59518,0.94781,0.45929,0.82844,0.0006536,0.0006536,0.0006536
70,1879.94,1.04356,0.4966,0.86068,0.9406,0.83355,0.88708,0.59864,0.96384,0.47852,0.83109,0.0006338,0.0006338,0.0006338
71,1914.5,1.05215,0.50411,0.86049,0.92366,0.83655,0.88531,0.60281,0.9416,0.45927,0.82502,0.000614,0.000614,0.000614
72,1949.39,1.0482,0.4972,0.8575,0.93,0.83739,0.89389,0.6031,0.9238,0.4529,0.82377,0.0005942,0.0005942,0.0005942
73,1982.83,1.0526,0.49907,0.85978,0.92453,0.83133,0.88194,0.60052,0.9482,0.46342,0.82341,0.0005744,0.0005744,0.0005744
74,2014.43,1.02698,0.49024,0.8545,0.936,0.83995,0.88981,0.60461,0.93561,0.44944,0.82072,0.0005546,0.0005546,0.0005546
75,2048.72,1.04656,0.49593,0.85545,0.93425,0.82843,0.88527,0.60461,0.92507,0.45381,0.8213,0.0005348,0.0005348,0.0005348
76,2083.53,1.02797,0.48604,0.85521,0.94368,0.83611,0.89483,0.59839,0.93756,0.45159,0.82156,0.000515,0.000515,0.000515
77,2115.76,1.03432,0.49245,0.85668,0.93534,0.83344,0.8837,0.60618,0.93965,0.45761,0.82092,0.0004952,0.0004952,0.0004952
78,2148.67,1.02206,0.48709,0.85376,0.942,0.83611,0.89019,0.60225,0.94017,0.45822,0.8206,0.0004754,0.0004754,0.0004754
79,2184.44,1.0305,0.48478,0.85532,0.93458,0.84146,0.89472,0.60877,0.92175,0.45528,0.81998,0.0004556,0.0004556,0.0004556
80,2220.05,1.01699,0.4789,0.85153,0.93118,0.83995,0.89324,0.61205,0.91535,0.45154,0.82371,0.0004358,0.0004358,0.0004358
81,2255.55,1.02678,0.48627,0.85135,0.92947,0.84362,0.9001,0.61042,0.92186,0.45135,0.82037,0.000416,0.000416,0.000416
82,2290.92,1.01783,0.48021,0.85456,0.94527,0.84035,0.8912,0.60844,0.92425,0.45045,0.81992,0.0003962,0.0003962,0.0003962
83,2325.05,1.00524,0.4756,0.85436,0.9407,0.84379,0.902,0.60749,0.93988,0.4493,0.82165,0.0003764,0.0003764,0.0003764
84,2351.85,1.01677,0.48048,0.85156,0.92802,0.84379,0.8952,0.60912,0.93002,0.44966,0.81709,0.0003566,0.0003566,0.0003566
85,2385.94,1.01662,0.47514,0.85481,0.93383,0.84123,0.89498,0.60753,0.92969,0.43986,0.82191,0.0003368,0.0003368,0.0003368
86,2419.71,1.01764,0.47627,0.85048,0.92509,0.83995,0.8995,0.61383,0.92285,0.444,0.81914,0.000317,0.000317,0.000317
87,2454.23,0.99606,0.46601,0.8469,0.93506,0.84805,0.90221,0.60817,0.92545,0.44381,0.82266,0.0002972,0.0002972,0.0002972
88,2470.07,0.99682,0.46627,0.84737,0.92444,0.85147,0.89626,0.61308,0.91574,0.44597,0.81949,0.0002774,0.0002774,0.0002774
89,2499.05,1.01214,0.46788,0.85238,0.93193,0.84123,0.8959,0.61161,0.92334,0.44011,0.82077,0.0002576,0.0002576,0.0002576
90,2530.32,1.00908,0.47305,0.84643,0.94083,0.83474,0.90205,0.61609,0.91672,0.43728,0.81827,0.0002378,0.0002378,0.0002378
91,2586.58,1.00536,0.4575,0.84286,0.91734,0.83837,0.88724,0.60346,0.93283,0.4549,0.82571,0.000218,0.000218,0.000218
92,2616.28,0.99422,0.45399,0.8356,0.94489,0.83426,0.89369,0.60982,0.91853,0.44054,0.82069,0.0001982,0.0001982,0.0001982
93,2650.04,0.99832,0.45058,0.83848,0.92299,0.84891,0.88927,0.61118,0.90815,0.43925,0.8184,0.0001784,0.0001784,0.0001784
94,2680.21,0.98748,0.44869,0.83348,0.94353,0.84507,0.89972,0.61172,0.91331,0.43781,0.81848,0.0001586,0.0001586,0.0001586
95,2715.83,0.98689,0.44652,0.83582,0.94168,0.8477,0.89865,0.60977,0.91951,0.43786,0.81994,0.0001388,0.0001388,0.0001388
96,2749.07,0.98745,0.44398,0.83261,0.93825,0.83483,0.89055,0.61646,0.90987,0.4326,0.81789,0.000119,0.000119,0.000119
97,2779.96,0.9766,0.4413,0.83227,0.93398,0.85275,0.89748,0.61366,0.91389,0.4324,0.81741,9.92e-05,9.92e-05,9.92e-05
98,2808.62,0.97788,0.44168,0.8364,0.94404,0.84249,0.89511,0.61321,0.91869,0.43553,0.81849,7.94e-05,7.94e-05,7.94e-05
99,2841.18,0.97518,0.44142,0.83487,0.9428,0.84123,0.89698,0.61493,0.91291,0.43178,0.81851,5.96e-05,5.96e-05,5.96e-05
100,2874.09,0.97911,0.43755,0.83393,0.94297,0.84681,0.89695,0.61543,0.91341,0.43269,0.81845,3.98e-05,3.98e-05,3.98e-05
